ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address
177,ER479,ALLURING  TURQUOISE EARRINGS,https://poeticajewels.com/alluring-turquoise-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER479/645A8095-750x1000.jpg,ALLURING  TURQUOISE EARRINGS,,Earrings,4450 INR,,,
163,NP307,ALLURING CHOKER WITH INTRICATE FLORAL MOTIFS WITH RUBY RED DROPS,https://poeticajewels.com/alluring-choker-with-intricate-floral-motifs-with-ruby-red-drops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP307/645A8059_2-750x1000.jpg,ALLURING CHOKER WITH INTRICATE FLORAL MOTIFS WITH RUBY RED DROPS,,Necklaces,49450 INR,,,
150,NP282,ALLURING PEACOCK TURQUOISE NECKLACE,https://poeticajewels.com/alluring-peacock-turquoise-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP282/645A8074_2-750x1000.jpg,ALLURING PEACOCK TURQUOISE NECKLACE,,Necklaces,24450 INR,,,
178,ER480,BEADED PEACOCK EARRINGS WITH RUBY RED FLOWER,https://poeticajewels.com/beaded-peacock-earrings-with-ruby-red-flower,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER480/645A7988-750x1000.jpg,BEADED PEACOCK EARRINGS WITH RUBY RED FLOWER,,Earrings,5450 INR,,,
167,NP314,BEADED PEACOCK NECKLACE WITH FISH MOTIF,https://poeticajewels.com/beaded-peacock-necklace-with-fish-motif,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP314/645A7970_2-750x1000.jpg,BEADED PEACOCK NECKLACE WITH FISH MOTIF,,Necklaces,39450 INR,,,
189,ER530,BEAT THE BLUES EARRINGS,https://poeticajewels.com/beat-the-blue-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER530/645A7757-750x1000.jpg,BEAT THE BLUES EARRINGS,,Earrings,12450 INR,,,
199,ER545,BLACK SPINEL ZIRCONIUM DANGLERS ,https://poeticajewels.com/black-spinel-zirconium-danglers,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER545/645A4571-750x1000.jpg,BLACK SPINEL ZIRCONIUM DANGLERS ,,Earrings,4950 INR,,,
184,ER525,BLOOMING LOTUS AND PEARLS EARRINGS,https://poeticajewels.com/blooming-lotus-and-pearls-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER525/645A4461-750x1000.jpg,BLOOMING LOTUS AND PEARLS EARRINGS,,Earrings,9450 INR,,,
196,ER540,BLOOMING ROSE EARRINGS,https://poeticajewels.com/blooming-rose-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER540/645A4472-750x1000.jpg,BLOOMING ROSE EARRINGS,,Earrings,5950 INR,,,
192,ER534,CHAND BALI EARRINGS,https://poeticajewels.com/chand-bali-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER534/645A4380-750x1000.jpg,CHAND BALI EARRINGS,,Earrings,15450 INR,,,
176,ER474,CHANDA TARA HOOP DANGLERS,https://poeticajewels.com/chanda-tara-hoop-danglers,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER474/645A8133-750x1000.jpg,CHANDA TARA HOOP DANGLERS,,Earrings,4450 INR,,,
165,NP309,CHANDA TARA LONG NECKLACE,https://poeticajewels.com/chanda-tara-long-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP309/645A8114_2-750x1000.jpg,CHANDA TARA LONG NECKLACE,,Necklaces,24450 INR,,,
193,ER536,CROWNING GLORY EARRINGS,https://poeticajewels.com/crowning-glory-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER536/645A4370-750x1000.jpg,CROWNING GLORY EARRINGS,,Earrings,12450 INR,,,
174,ER468,DANCING DUET PEACOCK EARRINGS,https://poeticajewels.com/dancing-duet-peacock-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER468/645A8113-750x1000.jpg,DANCING DUET PEACOCK EARRINGS,,Earrings,5950 INR,,,
155,NP295,DANCING PEACOCK NECKLACE,https://poeticajewels.com/dancing-peacock-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP295/645A4803-750x1000.jpg,DANCING PEACOCK NECKLACE,,Necklaces,19450 INR,,,
173,ER467,DANCING PEACOCKS IN A GARDEN FLORAL JHUMKI,https://poeticajewels.com/dancing-peacocks-in-a-garden-floral-jhumki,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER467/645A8027-750x1000.jpg,DANCING PEACOCKS IN A GARDEN FLORAL JHUMKI,,Earrings,5950 INR,,,
170,NP318,DANCING PEACOCKS IN A GARDEN NECKLACE,https://poeticajewels.com/dancing-peacocks-in-a-garden-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP318/645A8020-750x1000.jpg,DANCING PEACOCKS IN A GARDEN NECKLACE,,Necklaces,29450 INR,,,
148,NP275,DOUBLE LAYERED ROSY RED BEADED PEACOCK NECKLACE,https://poeticajewels.com/double-layered-rosy-red-beaded-peacock-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP275/645A4879-750x1000.jpg,DOUBLE LAYERED ROSY RED BEADED PEACOCK NECKLACE,,Necklaces,17450 INR,,,
154,NP294,ELEGANT CHOKER WITH GREEN CRYSTALS AND FLOWER BUDS,https://poeticajewels.com/elegant-choker-with-green-crystals-and-flower-buds,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP294/645A4856-750x1000.jpg,ELEGANT CHOKER WITH GREEN CRYSTALS AND FLOWER BUDS,,Necklaces,14450 INR,,,
146,NP279,ESTATE SILVER NECKLACE INSPIRED BY TURKMEN CRAFT,https://poeticajewels.com/estate-silver-necklace-inspired-by-turkmen-craft,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP279/645A0854-750x1000.jpg,ESTATE SILVER NECKLACE INSPIRED BY TURKMEN CRAFT,,Necklaces,29450 INR,,,
168,NP315,ETHNIC SILVER NECKLACE STUDDED WITH GREEN ONYX AND SILVER AMBIYAN,https://poeticajewels.com/ethnic-silver-necklace-studded-with-green-onyx-and-silver-ambiyan,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP315/645A4883-750x1000.jpg,ETHNIC SILVER NECKLACE STUDDED WITH GREEN ONYX AND SILVER AMBIYAN,,Necklaces,12450 INR,,,
162,NP306,FLOWER NECKLACE,https://poeticajewels.com/flower-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP306/645A4851-750x1000.jpg,FLOWER NECKLACE,,Necklaces,18450 INR,,,
185,ER526,FLOWERS IN A GARDEN EARRINGS,https://poeticajewels.com/flower-in-garden-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER526/645A7808-750x1000.jpg,FLOWERS IN A GARDEN EARRINGS,,Earrings,6450 INR,,,
161,NP304,GANESH LOTUS NECKLACE,https://poeticajewels.com/ganesh-lotus-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP304/645A8097_2-750x1000.jpg,GANESH LOTUS NECKLACE,,Necklaces,44450 INR,,,
195,ER539,GLORIOUS FLOWER STUDS WITH GREEN ONYX,https://poeticajewels.com/glorious-lorious-flower-studs-with-green-onyx,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER539/645A4435-750x1000.jpg,GLORIOUS FLOWER STUDS WITH GREEN ONYX,,Earrings,2450 INR,,,
198,ER544,GREEN ONYX FLOWER EARRINGS,https://poeticajewels.com/green-onyx-flower-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER544/645A4396-750x1000.jpg,GREEN ONYX FLOWER EARRINGS,,Earrings,4950 INR,,,
188,ER529,HEART OF GOLD EARRINGS,https://poeticajewels.com/heart-of-gold-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER529/645A7733-750x1000.jpg,HEART OF GOLD EARRINGS,,Earrings,14450 INR,,,
186,ER527,HEART OF PEACOCK EARRINGS,https://poeticajewels.com/heart-of-peacock-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER527/645A7772-750x1000.jpg,HEART OF PEACOCK EARRINGS,,Earrings,11450 INR,,,
159,NP302,KRISHNA LOVER NECKLACE,https://poeticajewels.com/krishna-lover-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP302/645A4841-750x1000.jpg,KRISHNA LOVER NECKLACE,,Necklaces,19450 INR,,,
160,NP303,LAKSHMI COIN NECKLACE,https://poeticajewels.com/lakshmi-coin-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP303/645A4847-750x1000.jpg,LAKSHMI COIN NECKLACE,,Necklaces,12450 INR,,,
149,NP280,LAKSHMI GANESHA PENDANT LONG NECKLACE,https://poeticajewels.com/lakshmi-ganesha-pendant-long-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP280/645A4868-750x1000.jpg,LAKSHMI GANESHA PENDANT LONG NECKLACE,,Necklaces,49450 INR,,,
175,ER469,LAKSHMI VILAS EARRINGS,https://poeticajewels.com/lakshmi-vilas-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER469/645A8006-750x1000.jpg,LAKSHMI VILAS EARRINGS,,Earrings,4950 INR,,,
169,NP316,LAKSHMI VILAS NECKLACE,https://poeticajewels.com/lakshmi-vilas-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP316/645A4808-750x1000.jpg,LAKSHMI VILAS NECKLACE,,Necklaces,34450 INR,,,
180,ER521,LOVING HEART EARRINGS,https://poeticajewels.com/loving-heart-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER521/645A7786-750x1000.jpg,LOVING HEART EARRINGS,,Earrings,7450 INR,,,
151,NP284,MAGNIFICENT VISHNU NECKLACE,https://poeticajewels.com/magnificent-vishnu-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP284/645A4830-750x1000.jpg,MAGNIFICENT VISHNU NECKLACE,,Necklaces,31450 INR,,,
156,NP297,MAJESTIC ELEPHANT NECKLACE,https://poeticajewels.com/majestic-elephant-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP297/645A4740-750x1000.jpg,MAJESTIC ELEPHANT NECKLACE,,Necklaces,39450 INR,,,
166,NP310,MAJESTIC PEACOCKS AND ELEPHANTS NECKLACE,https://poeticajewels.com/majestic-peacocks-and-elephant-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP310/645A4780-750x1000.jpg,MAJESTIC PEACOCKS AND ELEPHANTS NECKLACE,,Necklaces,39450 INR,,,
157,NP298,NARGIS NECKLACE,https://poeticajewels.com/index.php?route=product/product&amp;product_id=157,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Necklaces/NP298/645A4862-750x1000.jpg,NARGIS NECKLACE,,Necklaces,19450 INR,,,
179,ER506,NIGHT BLUE FLOWER DANGLERS,https://poeticajewels.com/night-blue-flower-danglers,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER506/645A7740-750x1000.jpg,NIGHT BLUE FLOWER DANGLERS,,Earrings,3450 INR,,,
197,ER541,PEARL AND BLUE ENAMEL CRESCENT DANGLERS,https://poeticajewels.com/pearl-and-blue-enamel-crescent-danglers,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER541/645A4590-750x1000.jpg,PEARL AND BLUE ENAMEL CRESCENT DANGLERS,,Earrings,5950 INR,,,
194,ER538,PEARLY DANGLERS WITH HAND-PAINTED GANESH,https://poeticajewels.com/pearl-danglers-with-hand-painted-ganesh,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER538/645A4491-750x1000.jpg,PEARLY DANGLERS WITH HAND-PAINTED GANESH,,Earrings,11450 INR,,,
153,NP293,PRIDE OF PEACOCKS NECKLACE,https://poeticajewels.com/pride-of-peacocks-necklace,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/4_2-750x1000.jpg,PRIDE OF PEACOCKS NECKLACE,,Necklaces,69450 INR,55560 INR,,
187,ER528,QUEEN OF HEARTS EARRINGS,https://poeticajewels.com/queen-of-hearts-earrings,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Earrings/ER528/645A7747-750x1000.jpg,QUEEN OF HEARTS EARRINGS,,Earrings,11450 INR,,,
